,name,price,discount
0, Apple iPhone 15 128GB Blue ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹68,290.00</span>","<span class=""jm-badge""> 14% OFF </span>"
1," Oppo K12x 5G 128 GB, 6 GB RAM, Midnight Navy, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹12,999.00</span>","<span class=""jm-badge""> 23% OFF </span>"
2," Apple iPhone 13 128 GB, Midnight (Black) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹50,490.00</span>","<span class=""jm-badge""> 15% OFF </span>"
3," Apple iPhone 13 128 GB, Starlight ","<span class=""jm-heading-xxs jm-mb-xxs"">₹50,490.00</span>","<span class=""jm-badge""> 15% OFF </span>"
4," POCO M6 5G 128 GB, 6 GB RAM, Blue, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹9,600.00</span>","<span class=""jm-badge""> 31% OFF </span>"
5, Apple iPhone 15 128GB Black ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹68,290.00</span>","<span class=""jm-badge""> 14% OFF </span>"
6," Oppo K12x 5G 128 GB, 6 GB RAM, Dusk Pink, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹12,999.00</span>","<span class=""jm-badge""> 23% OFF </span>"
7," OnePlus Nord CE 3 Lite 5G 256 GB, 8 GB RAM, Chromatic Gray, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹17,250.00</span>","<span class=""jm-badge""> 21% OFF </span>"
8," Infinix Note 40X 5G, 12GB RAM, 256GB ROM, Starlit Black, Smartphone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹14,990.00</span>","<span class=""jm-badge""> 31% OFF </span>"
9," POCO M6 5G, 4GB RAM, 64GB ROM, Orion Blue, Smartphone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹8,290.00</span>","<span class=""jm-badge""> 30% OFF </span>"
10," POCO M6 5G 128 GB, 6 GB RAM, Black, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹9,600.00</span>","<span class=""jm-badge""> 31% OFF </span>"
11," Samsung Galaxy F15 5G 128 GB, 6 GB RAM, Light Violet, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹14,499.00</span>","<span class=""jm-badge""> 19% OFF </span>"
